"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
112,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",5,"Arbeiderpartiet",4,"Nei, aldri",4,1,4,5,2,"heiVG",3
113,"Mann","35-44","Agder og Rogaland","Universitet/høyskole 5+ år",7,"Høyre",4,"Nei, aldri",4,0,4,4,4,"heiVG",4
114,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Nei, aldri",0,0,3,2,3,"heiVG",2
115,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",3,"Ja, noen ganger",4,1,4,2,4,"Gemini",3
116,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Nei, aldri",0,0,3,4,3,"Gemini",2
117,"Mann","55-64","Trøndelag","Grunnskole/videregående",5,"Fremskrittspartiet",2,"Ja, store deler av tiden",0,0,2,1,1,"ChatGPT",2
118,"Kvinne","55-64","Nord-Norge","Universitet/høyskole 5+ år",2,"MDG",2,"Ja, noen ganger",2,0,1,2,2,"Grok",1
119,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Rødt",3,"Nei, aldri",3,1,4,2,4,"Forsker",NA
120,"Mann","55-64","Oslo og Akershus","Grunnskole/videregående",NA,"Høyre",4,"Nei, aldri",3,0,4,NA,4,"Forsker",3
121,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"Rødt",2,"Ja, noen ganger",0,0,2,4,3,"Forsker",2
122,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",4,"Arbeiderpartiet",3,"Ja, noen ganger",0,0,1,3,2,"ChatGPT",2
123,"Kvinne","55-64","Trøndelag","Universitet/høyskole 1-4 år",7,"Høyre",4,"Ja, men sjelden",3,1,4,2,4,"Grok",1
124,"Kvinne","45-54","Nord-Norge","Universitet/høyskole 1-4 år",3,"Rødt",3,"Ja, noen ganger",3,1,3,5,3,"Gemini",2
125,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",3,"MDG",3,"Ja, men sjelden",3,1,1,1,1,"Grok",1
126,"Mann","65+","Oslo og Akershus","Universitet/høyskole 5+ år",8,NA,4,"Ja, noen ganger",0,0,3,2,2,"ChatGPT",1
127,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",6,"Venstre",3,"Ja, men sjelden",2,1,2,2,2,"Forsker",4
128,"Kvinne","45-54","Vestlandet","Grunnskole/videregående",7,"Høyre",3,"Nei, aldri",NA,NA,3,3,3,"ChatGPT",2
129,"Mann","45-54","Vestlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",5,0,4,1,2,"ChatGPT",1
130,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",2,"Nei, aldri",0,0,3,4,2,"Grok",1
131,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",2,"SV",3,"Ja, store deler av tiden",5,1,5,4,4,"Grok",2
132,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"MDG",4,"Ja, men sjelden",4,0,2,2,5,"Forsker",4
133,"Kvinne","65+","Nord-Norge","Grunnskole/videregående",NA,"Arbeiderpartiet",3,"Ja, noen ganger",NA,NA,NA,1,3,"Grok",2
134,"Kvinne","35-44","Nord-Norge","Universitet/høyskole 1-4 år",NA,"Annet parti",2,"Ja, store deler av tiden",4,0,2,1,3,"heiVG",2
135,"Mann","65+","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Ja, men sjelden",2,0,3,2,4,"Gemini",1
136,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",10,"Fremskrittspartiet",1,"Nei, aldri",0,0,4,3,2,"ChatGPT",3
137,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",NA,NA,3,NA,0,0,NA,NA,NA,"heiVG",NA
138,"Kvinne","55-64","Vestlandet","Universitet/høyskole 1-4 år",5,"Venstre",3,"Nei, aldri",3,1,4,2,4,"Forsker",2
139,"Mann","18-24","Vestlandet","Grunnskole/videregående",4,"MDG",4,"Nei, aldri",3,1,5,4,3,"heiVG",3
140,"Mann","25-34","Vestlandet","Universitet/høyskole 5+ år",6,"Arbeiderpartiet",4,"Nei, aldri",2,1,4,4,4,"Gemini",2
141,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",3,"Ja, noen ganger",3,1,4,4,4,"heiVG",3
142,"Mann","65+","Nord-Norge","Universitet/høyskole 5+ år",0,"Rødt",3,"Ja, noen ganger",0,0,1,1,2,"heiVG",3
143,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",3,"SV",4,"Ja, men sjelden",1,1,2,4,4,"Gemini",2
