"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
545,"Mann","45-54","Vestlandet","Grunnskole/videregående",6,"Høyre",3,"Ja, store deler av tiden",5,1,3,2,3,"Gemini",3
546,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",6,"Venstre",4,"Ja, noen ganger",3,1,3,1,4,"Gemini",2
547,"Mann","55-64","Nord-Norge","Grunnskole/videregående",10,"Fremskrittspartiet",4,"Ja, noen ganger",1,0,2,1,1,"Forsker",1
548,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",5,NA,3,"Ja, men sjelden",2,1,3,3,3,"ChatGPT",1
549,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Høyre",4,"Ja, men sjelden",2,0,4,4,4,"ChatGPT",3
550,"Mann","55-64","Agder og Rogaland","Grunnskole/videregående",NA,NA,3,"Nei, aldri",0,0,2,3,2,"ChatGPT",1
551,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Høyre",2,"Nei, aldri",3,0,4,3,2,"ChatGPT",1
552,"Kvinne","65+","Nord-Norge","Grunnskole/videregående",5,NA,4,"Ja, noen ganger",0,0,NA,2,3,"Grok",1
553,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",6,"Arbeiderpartiet",3,"Nei, aldri",3,1,2,4,3,"ChatGPT",2
554,"Mann","35-44","Trøndelag","Grunnskole/videregående",7,"Fremskrittspartiet",3,"Ja, noen ganger",0,0,1,2,3,"Gemini",2
555,"Mann","55-64","Nord-Norge","Universitet/høyskole 1-4 år",7,"Annet parti",3,"Ja, men sjelden",3,1,2,3,2,"heiVG",3
556,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Ja, noen ganger",0,0,2,2,3,"Forsker",2
557,"Mann","55-64","Nord-Norge","Grunnskole/videregående",8,"Høyre",3,"Nei, aldri",1,1,3,2,2,"heiVG",1
558,"Mann","25-34","Agder og Rogaland","Grunnskole/videregående",5,"Høyre",3,"Nei, aldri",2,0,3,1,2,"heiVG",NA
559,"Kvinne","35-44","Vestlandet","Grunnskole/videregående",NA,NA,4,"Ja, noen ganger",5,1,4,5,4,"Forsker",4
560,"Mann","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Fremskrittspartiet",3,"Ja, store deler av tiden",4,0,3,3,3,"Gemini",2
561,"Mann","25-34","Agder og Rogaland","Grunnskole/videregående",5,"Annet parti",3,"Ja, store deler av tiden",1,1,2,2,NA,"heiVG",3
562,"Mann","65+","Oslo og Akershus",NA,7,"Fremskrittspartiet",2,"Ja, store deler av tiden",2,0,3,4,2,"Gemini",1
563,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",5,"Rødt",3,"Ja, store deler av tiden",0,0,1,1,2,"ChatGPT",1
564,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Nei, aldri",3,0,3,4,3,"Gemini",2
565,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",NA,NA,2,"Ja, noen ganger",5,1,5,5,3,"Gemini",4
566,"Kvinne","65+","Trøndelag","Universitet/høyskole 5+ år",8,"Fremskrittspartiet",2,"Ja, noen ganger",1,0,3,1,1,"heiVG",2
567,"Mann","25-34","Vestlandet","Grunnskole/videregående",4,NA,3,"Ja, noen ganger",2,1,2,4,4,"heiVG",3
568,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",3,"Ja, noen ganger",2,1,2,1,1,"heiVG",2
569,"Kvinne","18-24","Agder og Rogaland","Universitet/høyskole 1-4 år",10,"Høyre",3,"Ja, noen ganger",1,1,1,1,3,"heiVG",1
570,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Venstre",4,"Nei, aldri",2,1,4,4,4,"Grok",2
571,"Kvinne","35-44","Nord-Norge","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",2,"Ja, store deler av tiden",0,0,2,1,1,"Grok",2
572,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",4,"Nei, aldri",1,0,4,3,4,"Forsker",2
573,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",3,"SV",4,"Ja, noen ganger",1,0,3,1,3,"heiVG",2
574,"Kvinne","65+","Vestlandet","Universitet/høyskole 1-4 år",7,"KrF",2,"Ja, men sjelden",0,0,4,2,3,"Gemini",NA
575,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",5,"Annet parti",3,"Ja, noen ganger",2,1,4,3,2,"heiVG",2
576,"Kvinne","18-24","Oslo og Akershus","Grunnskole/videregående",2,"SV",3,"Nei, aldri",4,1,3,1,3,"heiVG",2
577,"Mann","45-54","Agder og Rogaland","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Ja, noen ganger",2,1,NA,4,4,"heiVG",4
578,"Kvinne","55-64","Trøndelag","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",2,"Ja, men sjelden",0,0,4,3,3,"Forsker",2
579,"Kvinne","35-44","Nord-Norge","Universitet/høyskole 1-4 år",3,"SV",3,"Ja, noen ganger",5,1,3,1,4,"Gemini",1
580,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"SV",3,"Ja, noen ganger",4,1,2,4,3,"heiVG",2
581,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",8,"KrF",4,"Ja, noen ganger",1,0,2,2,4,"heiVG",2
582,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",NA,"Annet parti",2,"Ja, store deler av tiden",3,1,3,1,1,"Forsker",2
583,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Ja, men sjelden",3,0,3,3,4,"Forsker",3
584,"Mann","65+","Agder og Rogaland","Grunnskole/videregående",5,"Fremskrittspartiet",3,"Ja, store deler av tiden",0,0,1,3,3,"heiVG",2
585,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",3,"MDG",4,"Ja, noen ganger",5,1,3,2,NA,"heiVG",3
586,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",7,"Fremskrittspartiet",3,"Nei, aldri",3,1,3,3,4,"heiVG",2
587,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",6,"Venstre",4,"Ja, noen ganger",4,1,4,2,3,"Gemini",1
588,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",NA,NA,2,"Ja, men sjelden",1,1,3,3,1,"Grok",2
589,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Rødt",3,"Ja, men sjelden",2,0,3,3,2,"Grok",2
590,"Mann","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Nei, aldri",5,0,5,4,5,"ChatGPT",1
591,"Mann","35-44","Trøndelag","Universitet/høyskole 5+ år",6,"Venstre",4,"Ja, men sjelden",4,1,4,2,2,"heiVG",3
592,"Kvinne","45-54","Nord-Norge","Universitet/høyskole 5+ år",2,"Rødt",3,"Nei, aldri",NA,NA,4,2,4,"Grok",3
593,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",7,"Høyre",3,"Nei, aldri",5,1,4,3,4,"Gemini",3
594,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",4,"Ja, men sjelden",0,0,4,5,4,"ChatGPT",2
595,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, men sjelden",3,1,4,3,3,"Grok",3
596,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",1,"Høyre",3,"Ja, men sjelden",4,1,3,3,3,"ChatGPT",2
597,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",NA,NA,3,"Ja, store deler av tiden",2,1,3,3,2,"Forsker",2
598,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",2,1,4,3,3,"ChatGPT",3
599,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",3,"Nei, aldri",4,0,5,3,4,"Gemini",2
600,"Mann","25-34","Oslo og Akershus","Grunnskole/videregående",7,"Annet parti",3,"Nei, aldri",5,1,2,4,4,"Gemini",4
601,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"KrF",2,"Nei, aldri",2,1,1,1,1,"heiVG",3
602,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",8,NA,3,"Nei, aldri",0,0,NA,1,2,"ChatGPT",1
603,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",7,"Høyre",3,"Nei, aldri",3,1,4,5,4,"heiVG",3
604,"Kvinne","35-44","Sør-Østlandet","Grunnskole/videregående",1,"Rødt",4,"Nei, aldri",2,1,3,4,2,"ChatGPT",NA
605,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"MDG",3,"Ja, men sjelden",4,0,3,3,3,"heiVG",NA
606,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",7,NA,3,"Ja, noen ganger",5,1,4,4,3,"Grok",1
607,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",0,NA,3,"Ja, men sjelden",1,1,3,4,3,"ChatGPT",3
608,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",6,"Arbeiderpartiet",4,"Nei, aldri",1,1,4,3,4,"Forsker",4
609,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",3,"Ja, noen ganger",0,0,3,1,2,"ChatGPT",2
610,"Kvinne","35-44","Sør-Østlandet","Grunnskole/videregående",0,"Rødt",2,"Ja, store deler av tiden",1,1,3,1,3,"ChatGPT",2
611,"Kvinne","65+","Agder og Rogaland","Grunnskole/videregående",1,"Arbeiderpartiet",4,"Ja, store deler av tiden",1,0,3,1,3,"Forsker",2
612,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",4,"Nei, aldri",5,0,4,4,NA,"heiVG",3
613,"Mann","65+","Sør-Østlandet","Universitet/høyskole 5+ år",8,"Høyre",3,"Nei, aldri",3,0,3,5,4,"Grok",2
614,"Mann","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",6,"Høyre",3,"Ja, noen ganger",0,0,1,4,2,"Grok",NA
615,"Mann","45-54","Vestlandet","Grunnskole/videregående",5,"Senterpartiet",1,"Ja, noen ganger",2,1,3,4,1,"Grok",2
616,"Mann","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",3,"Venstre",4,"Ja, men sjelden",3,1,4,2,3,"Forsker",2
617,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",NA,"Høyre",1,"Ja, store deler av tiden",0,0,2,1,1,"ChatGPT",NA
618,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",3,NA,3,"Ja, men sjelden",4,1,2,2,2,"Forsker",1
619,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",1,"Rødt",3,"Ja, noen ganger",2,0,3,2,3,"heiVG",1
620,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",7,"Høyre",3,NA,5,1,4,5,2,"heiVG",1
621,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",7,"Høyre",4,"Nei, aldri",3,1,4,2,4,"Forsker",2
622,"Mann","25-34","Vestlandet","Universitet/høyskole 5+ år",2,"MDG",4,"Nei, aldri",3,0,3,2,4,"ChatGPT",2
623,"Kvinne","65+","Nord-Norge","Universitet/høyskole 1-4 år",2,"Rødt",3,"Ja, men sjelden",0,0,2,1,3,"Gemini",2
624,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",6,"Arbeiderpartiet",3,"Ja, men sjelden",3,1,4,3,3,"Gemini",3
625,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",1,"Nei, aldri",3,0,2,4,2,"ChatGPT",3
626,"Kvinne","65+","Nord-Norge","Universitet/høyskole 5+ år",8,"Høyre",3,"Ja, noen ganger",0,0,3,4,3,"Grok",2
627,"Kvinne","18-24","Vestlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Nei, aldri",4,1,2,2,4,"heiVG",3
628,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",3,"MDG",4,"Ja, men sjelden",0,0,NA,4,5,"Gemini",2
629,"Kvinne","65+","Agder og Rogaland","Grunnskole/videregående",5,NA,2,"Ja, men sjelden",0,0,NA,3,NA,"heiVG",1
630,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"Rødt",3,"Nei, aldri",1,1,2,3,4,"Gemini",2
631,"Kvinne","55-64","Vestlandet","Universitet/høyskole 1-4 år",4,NA,3,"Ja, noen ganger",1,0,4,4,3,"heiVG",1
632,"Mann","45-54","Agder og Rogaland","Grunnskole/videregående",7,"Senterpartiet",3,"Ja, men sjelden",4,1,5,5,2,"Forsker",4
633,"Kvinne","18-24","Vestlandet","Grunnskole/videregående",3,"MDG",4,"Nei, aldri",3,0,NA,4,4,"Gemini",3
634,"Kvinne","25-34","Oslo og Akershus","Grunnskole/videregående",6,"Venstre",3,"Nei, aldri",5,1,2,4,5,"heiVG",4
635,"Kvinne","18-24","Sør-Østlandet","Universitet/høyskole 1-4 år",0,"Rødt",4,"Nei, aldri",3,1,4,4,4,"heiVG",4
636,"Mann","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",3,"Nei, aldri",1,1,3,3,3,"Gemini",2
637,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",3,"Senterpartiet",2,"Ja, men sjelden",3,0,3,5,4,"Gemini",3
638,"Mann","45-54","Nord-Norge","Grunnskole/videregående",NA,"Annet parti",1,"Nei, aldri",4,0,NA,4,1,"Gemini",NA
639,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",5,"Senterpartiet",3,"Nei, aldri",1,1,2,3,3,"Forsker",2
640,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"MDG",3,"Ja, noen ganger",2,1,2,3,2,"ChatGPT",2
641,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Venstre",3,"Nei, aldri",4,0,3,3,2,"Grok",1
642,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Ja, men sjelden",5,0,3,4,4,"Forsker",2
643,"Mann","65+","Sør-Østlandet","Universitet/høyskole 5+ år",5,"Venstre",3,"Ja, men sjelden",4,1,4,3,4,"Forsker",2
644,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Nei, aldri",3,1,2,4,4,"Forsker",5
645,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",5,"Senterpartiet",4,"Ja, noen ganger",0,0,NA,2,NA,"Forsker",NA
646,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Rødt",3,"Nei, aldri",1,0,2,2,2,"Gemini",2
647,"Mann","45-54","Vestlandet","Grunnskole/videregående",6,"Venstre",3,"Nei, aldri",0,0,3,1,3,"heiVG",3
648,"Mann","65+","Vestlandet","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",3,"Ja, men sjelden",5,1,4,4,2,"Gemini",3
649,"Mann","55-64","Nord-Norge","Universitet/høyskole 1-4 år",5,"Arbeiderpartiet",3,"Nei, aldri",3,0,4,2,3,"Forsker",2
650,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Nei, aldri",5,1,5,2,3,"Grok",3
651,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Senterpartiet",4,"Ja, men sjelden",NA,NA,3,2,3,"Forsker",2
652,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",10,"Fremskrittspartiet",4,"Ja, noen ganger",4,1,4,4,3,"heiVG",1
653,"Mann","55-64","Vestlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Nei, aldri",1,1,3,2,3,"ChatGPT",3
654,"Mann","35-44","Sør-Østlandet","Grunnskole/videregående",5,"Senterpartiet",3,"Nei, aldri",0,0,3,5,4,"Gemini",2
655,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 5+ år",2,NA,2,"Ja, noen ganger",3,0,3,1,2,"Gemini",2
656,"Kvinne","55-64","Nord-Norge","Grunnskole/videregående",5,"Fremskrittspartiet",2,"Nei, aldri",0,0,1,1,3,"ChatGPT",2
657,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",4,"Ja, noen ganger",0,0,4,2,3,"heiVG",4
658,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",4,NA,3,"Ja, store deler av tiden",0,0,NA,4,3,"Forsker",5
659,"Kvinne","65+","Trøndelag","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Nei, aldri",0,0,3,5,NA,"heiVG",NA
660,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Senterpartiet",2,"Ja, noen ganger",0,0,2,1,1,"Gemini",1
661,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",4,"Nei, aldri",4,1,2,3,3,"Grok",1
662,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",6,"Høyre",3,"Ja, men sjelden",2,1,4,2,3,"Grok",1
663,"Mann","65+","Oslo og Akershus","Grunnskole/videregående",1,"Rødt",2,"Ja, noen ganger",4,1,2,2,2,"heiVG",3
664,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Nei, aldri",4,1,4,2,3,"ChatGPT",3
665,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",5,NA,2,"Nei, aldri",2,1,3,4,2,"Gemini",3
666,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Rødt",4,"Ja, store deler av tiden",4,1,4,1,5,"Grok",1
667,"Kvinne","55-64","Sør-Østlandet","Grunnskole/videregående",4,"Rødt",3,"Nei, aldri",2,1,4,4,3,"Grok",NA
668,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",4,"Nei, aldri",2,0,2,1,3,"Forsker",4
669,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"KrF",2,"Ja, noen ganger",0,0,3,3,2,"Grok",3
670,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 5+ år",9,NA,3,"Nei, aldri",3,1,2,2,3,"Gemini",2
671,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Høyre",3,"Ja, noen ganger",4,1,2,5,3,"Gemini",3
672,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",3,"Rødt",4,"Ja, men sjelden",1,0,2,2,3,"heiVG",2
673,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",6,"Fremskrittspartiet",2,"Nei, aldri",3,1,NA,4,3,"ChatGPT",NA
674,"Mann","35-44","Agder og Rogaland","Grunnskole/videregående",NA,"Annet parti",3,"Ja, store deler av tiden",5,1,4,NA,3,"Gemini",NA
675,"Kvinne","55-64","Nord-Norge","Universitet/høyskole 5+ år",6,"Venstre",3,"Ja, noen ganger",3,1,4,3,3,"Gemini",2
676,"Kvinne","65+","Vestlandet","Grunnskole/videregående",5,"Arbeiderpartiet",4,"Ja, men sjelden",0,0,4,4,3,"ChatGPT",2
677,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Fremskrittspartiet",2,"Ja, men sjelden",3,1,3,4,3,"Gemini",3
678,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",4,"Nei, aldri",2,1,3,5,NA,"Grok",1
679,"Kvinne","55-64","Vestlandet","Universitet/høyskole 1-4 år",1,"Rødt",3,"Ja, noen ganger",1,1,3,4,3,"Grok",2
680,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",2,"Ja, noen ganger",4,1,2,2,2,"heiVG",1
681,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",4,"MDG",4,"Nei, aldri",1,0,2,2,2,"Grok",1
682,"Mann","25-34","Sør-Østlandet","Grunnskole/videregående",7,"Fremskrittspartiet",4,"Nei, aldri",4,1,4,5,3,"Forsker",3
683,"Mann","25-34","Vestlandet","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Nei, aldri",5,0,3,4,2,"ChatGPT",2
684,"Mann","65+","Oslo og Akershus","Grunnskole/videregående",5,NA,3,"Ja, men sjelden",3,0,3,2,3,"Forsker",3
685,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",2,"Rødt",4,"Nei, aldri",3,0,4,4,5,"ChatGPT",NA
686,"Mann","65+","Vestlandet","Grunnskole/videregående",10,"Fremskrittspartiet",2,"Nei, aldri",4,1,4,4,3,"Grok",2
687,"Kvinne","25-34","Vestlandet","Universitet/høyskole 5+ år",0,"Rødt",3,"Ja, noen ganger",0,0,1,1,2,"Gemini",2
688,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",4,"SV",3,"Ja, noen ganger",3,1,4,2,3,"heiVG",NA
689,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Senterpartiet",3,"Nei, aldri",2,1,2,1,2,"Grok",1
690,"Kvinne","25-34","Trøndelag","Grunnskole/videregående",5,NA,3,"Ja, noen ganger",NA,NA,3,1,3,"Forsker",NA
691,"Kvinne","55-64","Nord-Norge","Universitet/høyskole 1-4 år",5,"Arbeiderpartiet",3,"Nei, aldri",2,1,4,2,NA,"Gemini",3
692,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",8,"Høyre",3,"Nei, aldri",3,1,2,4,4,"ChatGPT",1
693,"Mann","25-34","Vestlandet","Grunnskole/videregående",5,"Annet parti",3,"Ja, noen ganger",2,0,4,1,2,"Grok",1
694,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",5,NA,3,"Nei, aldri",3,1,5,3,3,"ChatGPT",3
695,"Kvinne","55-64","Vestlandet","Grunnskole/videregående",NA,NA,2,"Nei, aldri",0,0,3,NA,NA,"Gemini",NA
696,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",3,"Nei, aldri",4,1,4,5,3,"heiVG",2
697,"Mann","35-44","Trøndelag","Universitet/høyskole 5+ år",5,NA,3,"Ja, noen ganger",4,0,3,3,3,"heiVG",2
698,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",4,"Arbeiderpartiet",3,"Ja, men sjelden",0,0,3,5,3,"Gemini",1
699,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",3,"Nei, aldri",5,1,5,5,4,"heiVG",3
700,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",3,"Nei, aldri",1,1,3,2,NA,"heiVG",3
701,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Nei, aldri",0,0,4,4,2,"Grok",2
702,"Mann","55-64","Nord-Norge","Grunnskole/videregående",5,"Fremskrittspartiet",3,"Nei, aldri",4,1,4,3,3,"heiVG",2
703,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Ja, noen ganger",4,1,5,4,3,"heiVG",3
704,"Mann","18-24","Trøndelag","Grunnskole/videregående",7,NA,3,"Nei, aldri",3,0,NA,NA,NA,"heiVG",3
705,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",5,NA,4,"Nei, aldri",0,0,3,1,3,"Grok",2
706,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",NA,NA,3,"Nei, aldri",2,1,3,3,NA,"Forsker",3
707,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",7,NA,3,"Nei, aldri",4,1,3,4,3,"ChatGPT",2
708,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",2,"Rødt",3,"Nei, aldri",3,0,3,3,3,"Grok",2
709,"Mann","45-54","Sør-Østlandet","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Nei, aldri",0,0,1,1,1,"Grok",1
710,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"SV",4,"Ja, noen ganger",4,1,2,1,3,"Grok",2
711,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",3,"Arbeiderpartiet",2,"Ja, men sjelden",0,0,2,1,1,"Forsker",1
712,"Mann","45-54","Vestlandet","Universitet/høyskole 1-4 år",6,"Høyre",4,"Nei, aldri",5,0,5,4,3,"ChatGPT",2
713,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Høyre",3,"Nei, aldri",1,0,4,4,2,"Grok",3
714,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",6,NA,3,"Nei, aldri",1,1,3,2,3,"Forsker",1
715,"Kvinne","25-34","Nord-Norge","Universitet/høyskole 5+ år",7,NA,3,"Nei, aldri",3,1,3,4,3,"Gemini",1
716,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",6,"Høyre",3,"Ja, men sjelden",2,1,4,4,2,"Grok",2
717,"Mann","25-34","Nord-Norge","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",3,"Ja, noen ganger",4,1,4,5,2,"heiVG",1
718,"Kvinne","35-44","Oslo og Akershus","Grunnskole/videregående",5,NA,2,NA,4,1,2,4,2,"Gemini",2
719,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",NA,NA,3,"Ja, noen ganger",1,0,3,4,NA,"Grok",2
720,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",3,"Nei, aldri",3,1,2,4,4,"Forsker",2
721,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"MDG",4,"Nei, aldri",3,1,2,1,4,"ChatGPT",NA
722,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",5,"MDG",3,"Ja, men sjelden",2,1,3,2,3,"Grok",1
723,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Fremskrittspartiet",4,"Ja, men sjelden",2,0,2,1,2,"Grok",2
724,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",NA,NA,2,"Ja, store deler av tiden",2,1,NA,2,2,"Gemini",NA
725,"Mann","65+","Vestlandet","Universitet/høyskole 5+ år",8,"Høyre",4,"Nei, aldri",5,1,5,5,4,"Grok",2
726,"Mann","55-64","Oslo og Akershus","Grunnskole/videregående",NA,NA,4,"Ja, men sjelden",0,0,1,4,1,"Forsker",1
727,"Kvinne","65+","Nord-Norge","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",4,"Ja, men sjelden",0,0,3,1,1,"ChatGPT",2
728,"Kvinne","35-44","Sør-Østlandet","Grunnskole/videregående",3,"Høyre",3,"Ja, men sjelden",3,1,3,3,1,"ChatGPT",2
